algorithm,size,total_comparisons,sample_count
insertion_sort,30,199,1
merge_sort,30,108,1
quick_sort,30,123,1
bubble_sort,31,455,1
selection_sort,31,465,1
insertion_sort,31,260,1
merge_sort,31,119,1
quick_sort,31,127,1
bubble_sort,32,490,1
selection_sort,32,496,1
insertion_sort,32,207,1
merge_sort,32,123,1
quick_sort,32,166,1
bubble_sort,33,525,1
selection_sort,33,528,1
insertion_sort,33,320,1
merge_sort,33,121,1
quick_sort,33,132,1
bubble_sort,34,560,1
selection_sort,34,561,1
insertion_sort,34,274,1
merge_sort,34,129,1
quick_sort,34,211,1
bubble_sort,35,594,1
selection_sort,35,595,1
insertion_sort,35,353,1
merge_sort,35,132,1
quick_sort,35,166,1
bubble_sort,36,552,1
selection_sort,36,630,1
insertion_sort,36,344,1
merge_sort,36,140,1
quick_sort,36,148,1
bubble_sort,37,645,1
selection_sort,37,666,1
insertion_sort,37,336,1
merge_sort,37,154,1
quick_sort,37,166,1
bubble_sort,38,612,1
selection_sort,38,703,1
insertion_sort,38,265,1
merge_sort,38,161,1
quick_sort,38,154,1
bubble_sort,39,726,1
selection_sort,39,741,1
insertion_sort,39,359,1
merge_sort,39,163,1
quick_sort,39,190,1
bubble_sort,40,752,1
selection_sort,40,780,1
insertion_sort,40,474,1
merge_sort,40,167,1
quick_sort,40,172,1
bubble_sort,41,765,1
selection_sort,41,820,1
insertion_sort,41,457,1
merge_sort,41,174,1
quick_sort,41,196,1
bubble_sort,42,806,1
selection_sort,42,861,1
insertion_sort,42,468,1
merge_sort,42,182,1
quick_sort,42,183,1
bubble_sort,43,888,1
selection_sort,43,903,1
insertion_sort,43,591,1
merge_sort,43,180,1
quick_sort,43,189,1
bubble_sort,44,826,1
selection_sort,44,946,1
insertion_sort,44,445,1
merge_sort,44,185,1
quick_sort,44,212,1
bubble_sort,45,989,1
selection_sort,45,990,1
insertion_sort,45,501,1
merge_sort,45,197,1
quick_sort,45,217,1
bubble_sort,46,990,1
selection_sort,46,1035,1
insertion_sort,46,523,1
merge_sort,46,196,1
